CountryCode,Name
cm,Sud-Ouest
cm,Littoral
cm,Nord
cm,Ouest
cn,Sichuan
cn,Xinjiang
cn,Nei Mongol
cn,Yunnan
cn,Guizhou
cn,Heilongjiang
cn,Shandong
cn,Liaoning
cn,Shaanxi
cn,Qinghai
cn,Gansu
cn,Jiangsu
cn,Fujian
cn,Hunan
cn,Jiangxi
cn,Guangxi
cn,Zhejiang
cn,Hebei
cn,Hubei
cn,Anhui
cn,Tianjin
cn,Hainan
cn,Guangdong
cn,Xizang
cn,Jilin
cn,Chongqing
cn,Beijing
cn,Shanxi
cn,Shanghai
cn,Henan
cn,Ningxia
co,Cundinamarca
co,Norte de Santander
co,Narino
co,Risaralda
co,Antioquia
co,Amazonas
co,La Guajira
co,Choco
co,Cauca
co,Valle del Cauca
co,Arauca
co,Meta
co,Caqueta
co,Casanare
co,Vaupes
co,Tolima
co,Huila
co,Atlantico
co,Cordoba
co,Santander
co,Cesar
co,Sucre
co,Putumayo
co,Guaviare
co,San Andres y Providencia
co,Vichada
co,Quindio
co,Guainia
co,Distrito Especial
cr,Guanacaste
cr,Limon
cr,Puntarenas
cr,Alajuela
cr,Heredia
cr,San Jose
cr,Cartago
cu,Cienfuegos
cu,La Habana
cu,Santiago de Cuba
cu,Camaguey
cu,Ciudad de la Habana
cu,Villa Clara
cu,Pinar del Rio
cu,Matanzas
cu,Guantanamo
cu,Las Tunas
cu,Ciego de Avila
cu,Sancti Spiritus
cu,Holguin
cu,Granma
cu,Isla de la Juventud
cv,Sao Domingos
cy,Limassol
cy,Nicosia
cy,Paphos
cy,Famagusta
cy,Larnaca
cy,Kyrenia
cz,Karlovarsky kraj
cz,Pardubicky kraj
cz,Jihomoravsky kraj
cz,Jihocesky kraj
cz,Olomoucky kraj
cz,Moravskoslezsky kraj
cz,Kralovehradecky kraj
cz,Ustecky kraj
cz,Stredocesky kraj
cz,Vysocina
cz,Plzensky kraj
cz,Zlinsky kraj
cz,Hlavni mesto Praha
cz,Liberecky kraj
de,Nordrhein-Westfalen
de,Baden-Wurttemberg
de,Bayern
de,Rheinland-Pfalz
de,Niedersachsen
de,Schleswig-Holstein
de,Brandenburg
de,Sachsen-Anhalt
de,Sachsen
de,Thuringen
de,Hessen
de,Mecklenburg-Vorpommern
de,Hamburg
de,Berlin
de,Saarland
de,Bremen
dj,Ali Sabieh
dj,Tadjoura
dj,Obock
dj,Arta
dj,Dikhil
dk,Syddanmark
dk,Midtjylland
dk,Nordjylland
dk,Sjelland
dk,Hovedstaden
dm,Saint Andrew
dm,Saint David
dm,Saint Joseph
dm,Saint George
dm,Saint Patrick
dm,Saint Peter
dm,Saint John
dm,Saint Mark
dm,Saint Paul
dm,Saint Luke
do,Sanchez Ramirez
do,Espaillat
do,Duarte
do,Samana
do,Maria Trinidad Sanchez
do,La Romana
do,Azua
do,San Cristobal
do,El Seibo
do,Monte Plata
do,Distrito Nacional
do,Elias Pina
do,Santiago
do,Santiago Rodriguez
do,Peravia
do,Monte Cristi
do,Salcedo
do,Puerto Plata
do,San Pedro De Macoris
do,Pedernales
do,Independencia
do,La Vega
do,Dajabon
do,Hato Mayor
do,Barahona
do,San Juan
do,La Altagracia
do,Valverde
do,Baoruco
do,Monsenor Nouel
dz,Ain Temouchent
dz,Oran
dz,Medea
dz,Chlef
dz,Bechar
dz,Tamanghasset
dz,Bejaia
dz,Tizi Ouzou
dz,Boumerdes
dz,Ain Defla
dz,Annaba
dz,Setif
dz,Relizane
dz,Mascara
dz,Mostaganem
dz,Tiaret
dz,Bordj Bou Arreridj
dz,Tipaza
dz,Bouira
dz,Tissemsilt
dz,Jijel
dz,Saida
dz,Illizi
dz,Tlemcen
dz,Adrar
dz,Laghouat
dz,Constantine
dz,Khenchela
dz,Batna
dz,Alger
dz,M'sila
dz,Skikda
dz,Oum el Bouaghi
dz,Naama
dz,Sidi Bel Abbes
dz,Mila
dz,Ouargla
dz,Djelfa
dz,El Bayadh
dz,Souk Ahras
dz,El Oued
dz,Blida
dz,Biskra
dz,Tebessa
dz,Guelma
dz,Tindouf
dz,Ghardaia
ec,Manabi
ec,Zamora-Chinchipe
ec,Morona-Santiago
ec,El Oro
ec,Azuay
ec,Sucumbios
ec,Guayas
ec,Los Rios
ec,Loja
ec,Chimborazo
ec,Tungurahua
ec,Esmeraldas
ec,Pichincha
ec,Imbabura
ec,Cotopaxi
ec,Carchi
ec,Napo
ec,Canar
ec,Pastaza
ec,Orellana
ec,Bolivar
ec,Galapagos
ee,Harjumaa
ee,Tartumaa
ee,Hiiumaa
ee,Raplamaa
ee,Valgamaa
ee,Laanemaa
ee,Polvamaa
ee,Parnumaa
ee,Laane-Virumaa
ee,Jarvamaa
ee,Viljandimaa
ee,Saaremaa
ee,Jogevamaa
ee,Ida-Virumaa
ee,Vorumaa
eg,Ash Sharqiyah
eg,Al Gharbiyah
eg,Ad Daqahliyah
eg,Al Jizah
eg,Al Minya
eg,Kafr ash Shaykh
eg,Al Buhayrah
eg,Qina
eg,Al Qahirah
eg,Al Iskandariyah
eg,Al Fayyum
eg,Asyut
eg,Al Minufiyah
eg,Bani Suwayf
eg,Al Qalyubiyah
eg,Aswan
eg,Shamal Sina'
eg,Suhaj
eg,Janub Sina'
eg,Al Bahr al Ahmar
eg,Al Isma'iliyah
eg,Dumyat
eg,Matruh
eg,As Suways
eg,Al Wadi al Jadid
eg,Bur Sa'id
es,Aragon
es,Galicia
es,Castilla y Leon
es,Extremadura
es,Pais Vasco
es,Cantabria
es,Navarra
es,Asturias
es,La Rioja
es,Castilla-La Mancha
es,Murcia
es,Andalucia
es,Comunidad Valenciana
es,Catalonia
es,Canarias
es,Madrid
es,Islas Baleares
fi,Oulu
fi,Western Finland
fi,Lapland
fi,Eastern Finland
fi,Southern Finland
fi,Aland
fj,Northern
fj,Western
fj,Central
fj,Eastern
fm,Yap
fm,Pohnpei
fm,Chuuk
fm,Kosrae
fr,Aquitaine
fr,Nord-Pas-de-Calais
fr,Lorraine
fr,Haute-Normandie
fr,Picardie
fr,Franche-Comte
fr,Pays de la Loire
fr,Champagne-Ardenne
fr,Centre
fr,Languedoc-Roussillon
fr,Poitou-Charentes
fr,Rhone-Alpes
fr,Basse-Normandie
fr,Ile-de-France
fr,Bourgogne
fr,Auvergne
fr,Provence-Alpes-Cote d'Azur
fr,Corse
fr,Alsace
fr,Bretagne
fr,Midi-Pyrenees
fr,Limousin
ga,Estuaire
ga,Woleu-Ntem
ga,Moyen-Ogooue
ga,Ogooue-Maritime
ga,Ogooue-Lolo
ga,Ogooue-Ivindo
ga,Haut-Ogooue
ga,Ngounie
ga,Nyanga
gb,Worcestershire
gb,Hampshire
gb,Herefordshire
gb,Essex
gb,Powys
gb,Monmouthshire
gb,Scottish Borders
gb,Cumbria
gb,Devon
gb,Staffordshire
gb,Dorset
gb,Hertford
gb,Cambridgeshire
gb,Lancashire
gb,Conwy
gb,Ceredigion
gb,Rhondda Cynon Taff
gb,Highland
gb,Perth and Kinross
gb,Caerphilly
gb,Blaenau Gwent
gb,Merthyr Tydfil
gb,Pembrokeshire
gb,Aberdeenshire
gb,Gwynedd
gb,Aberdeen City
gb,Fife
gb,Neath Port Talbot
gb,Isle of Anglesey
gb,Wokingham
gb,York
gb,Stirling
gb,Carmarthenshire
gb,Bridgend
gb,East Lothian
gb,Angus
gb,Moray
gb,Torfaen
gb,Swansea
gb,Vale of Glamorgan
gb,Oxfordshire
gb,Surrey
gb,South Lanarkshire
gb,Leicestershire
gb,Wigan
gb,Northamptonshire
gb,Lincolnshire
gb,Argyll and Bute
gb,Northumberland
gb,Norfolk
gb,Solihull
gb,Wrexham
gb,Cheshire
gb,Shropshire
gb,Banbridge
gb,South Gloucestershire
gb,West Lothian
gb,Kent
gb,Leeds
gb,Somerset
gb,Gloucestershire
gb,Buckinghamshire
gb,Coleraine
gb,Craigavon
gb,Antrim
gb,Limavady
gb,Armagh
gb,Ballymena
gb,North Yorkshire
gb,Sefton
gb,Warwickshire
gb,Derry
gb,Eilean Siar
gb,North Lanarkshire
gb,Falkirk
gb,Shetland Islands
gb,Wiltshire
gb,Durham
gb,Darlington
gb,Suffolk
gb,Derbyshire
gb,Walsall
gb,Rotherham
gb,West Dunbartonshire
gb,East Sussex
gb,Coventry
gb,Derby
gb,Southend-on-Sea
gb,Clackmannanshire
gb,Kirklees
gb,St. Helens
gb,Omagh
gb,Cornwall
gb,North Lincolnshire
gb,Newry and Mourne
gb,South Ayrshire
gb,Isle of Wight
gb,Dumfries and Galloway
gb,Bedfordshire
gb,Down
gb,Dungannon
gb,Renfrewshire
gb,Leicester
gb,Glasgow City
gb,West Sussex
gb,Warrington
gb,Cookstown
gb,North Ayrshire
gb,Barnsley
gb,Strabane
gb,Doncaster
gb,Ballymoney
gb,Fermanagh
gb,Nottingham
gb,Tameside
gb,Rutland
gb,Nottinghamshire
gb,Midlothian
gb,East Ayrshire
gb,Stoke-on-Trent
gb,Bristol
gb,Flintshire
gb,Blackburn with Darwen
gb,Moyle
gb,Carrickfergus
gb,Castlereagh
gb,Larne
gb,Belfast
gb,Magherafelt
gb,North Down
gb,North Somerset
gb,East Renfrewshire
gb,Newport
gb,Bath and North East Somerset
gb,Newham
gb,Denbighshire
gb,East Riding of Yorkshire
gb,Bexley
gb,Bromley
gb,Bradford
gb,Bracknell Forest
gb,Cardiff
gb,Birmingham
gb,Orkney
gb,East Dunbartonshire
gb,Blackpool
gb,Southampton
gb,Newcastle upon Tyne
gb,Bolton
gb,Redcar and Cleveland
gb,Bournemouth
gb,Swindon
gb,Stockport
gb,Windsor and Maidenhead
gb,Inverclyde
gb,Medway
gb,Milton Keynes
gb,Dundee City
gb,Telford and Wrekin
gb,Reading
gb,Bury
gb,Wolverhampton
gb,Southwark
gb,Camden
gb,Slough
gb,Middlesbrough
gb,Stockton-on-Tees
gb,Newtownabbey
gb,Lisburn
gb,Lewisham
gb,West Berkshire
gb,Manchester
gb,Westminster
gb,Ards
gb,Plymouth
gb,Croydon
gb,Barking and Dagenham
gb,Hartlepool
gb,Sheffield
gb,Oldham
gb,Knowsley
gb,Liverpool
gb,Dudley
gb,Gateshead
gb,Ealing
gb,Edinburgh
gb,Enfield
gb,Calderdale
gb,Halton
gb,North Tyneside
gb,Thurrock
gb,North East Lincolnshire
gb,Wirral
gb,Hackney
gb,Hammersmith and Fulham
gb,Havering
gb,Harrow
gb,Barnet
gb,Hounslow
gb,Brighton and Hove
gb,Kingston upon Hull
gb,Redbridge
gb,Islington
gb,Kensington and Chelsea
gb,Kingston upon Thames
gb,Lambeth
gb,London
gb,Luton
gb,Sunderland
gb,Merton
gb,Sandwell
gb,Salford
gb,Peterborough
gb,Poole
gb,Tower Hamlets
gb,Portsmouth
gb,Rochdale
gb,Greenwich
gb,South Tyneside
gb,Trafford
gb,Sutton
gb,Torbay
gb,Richmond upon Thames
gb,Hillingdon
gb,Wakefield
gb,Waltham Forest
gb,Wandsworth
gb,Brent
gb,Haringey
gd,Saint Andrew
gd,Saint George
gd,Saint David
gd,Saint Patrick
gd,Saint Mark
gd,Saint John
ge,Abkhazia
ge,Ninotsmindis Raioni
ge,P'ot'i
ge,Ambrolauris Raioni
ge,Abashis Raioni
ge,Akhalts'ikhis Raioni
ge,Zestap'onis Raioni
ge,Tsalenjikhis Raioni
ge,Marneulis Raioni
ge,Goris Raioni
ge,K'arelis Raioni
ge,Khashuris Raioni
ge,Kaspis Raioni
ge,Ajaria
ge,Mts'khet'is Raioni
ge,Ch'okhatauris Raioni
ge,Akhalk'alak'is Raioni
ge,Samtrediis Raioni
ge,Tqibuli
ge,Dushet'is Raioni
ge,Onis Raioni
ge,Lentekhis Raioni
ge,Martvilis Raioni
ge,K'ut'aisi
ge,Akhalgoris Raioni
ge,Aspindzis Raioni
ge,Akhmetis Raioni
ge,Lagodekhis Raioni
ge,Zugdidis Raioni
ge,Borjomis Raioni
ge,T'ianet'is Raioni
ge,Khobis Raioni
ge,Kharagaulis Raioni
ge,Vanis Raioni
ge,T'elavis Raioni
ge,Tsalkis Raioni
ge,Qazbegis Raioni
ge,Sagarejos Raioni
ge,T'et'ritsqaros Raioni
ge,Dedop'listsqaros Raioni
ge,Javis Raioni
ge,Ch'khorotsqus Raioni
ge,Tsqaltubo
ge,Rust'avi
ge,T'bilisi
ge,Baghdat'is Raioni
ge,Lanch'khut'is Raioni
ge,Chiat'ura
ge,Ts'ageris Raioni
gh,Central
gh,Western
gh,Ashanti
gh,Upper East
gh,Volta
gh,Brong-Ahafo
gh,Northern
gh,Greater Accra
gh,Upper West
gh,Eastern
gl,Vestgronland
gl,Nordgronland
gl,Ostgronland
gm,Central River
gm,Western
gm,North Bank
gm,Upper River
gm,Lower River
gm,Banjul
gn,Kouroussa
gn,Beyla
gn,Koundara
gn,Dinguiraye
gn,Mali
gn,Macenta
gn,Kissidougou
gn,Forecariah
gn,Pita
gn,Dabola
gn,Boke
gn,Mamou
gn,Faranah
gn,Telimele
gn,Boffa
gn,Gueckedou
gn,Kindia
gn,Fria
gn,Tougue
gn,Yomou
gn,Gaoual
gn,Kerouane
gn,Dalaba
gn,Conakry
gn,Coyah
gn,Dubreka
gn,Kankan
gn,Koubia
gn,Labe
gn,Lelouma
gn,Lola
gn,Mandiana
gn,Nzerekore
gn,Siguiri
gq,Centro Sur
gq,Wele-Nzas
gq,Kie-Ntem
gq,Litoral
gq,Annobon
gq,Bioko Norte
gq,Bioko Sur
gr,Kilkis
gr,Larisa
gr,Attiki
gr,Trikala
gr,Preveza
gr,Kerkira
gr,Ioannina
gr,Pella
gr,Thessaloniki
gr,Voiotia
gr,Kikladhes
gr,Kavala
gr,Argolis
gr,Rethimni
gr,Serrai
gr,Lakonia
gr,Iraklion
gr,Lasithi
gr,Rodhopi
gr,Drama
gr,Messinia
gr,Evvoia
gr,Akhaia
gr,Magnisia
gr,Khania
gr,Kardhitsa
gr,Evros
gr,Arkadhia
gr,Aitolia kai Akarnania
gr,Kozani
gr,Thesprotia
gr,Lesvos
gr,Dhodhekanisos
gr,Kefallinia
gr,Khios
gr,Arta
gr,Grevena
gr,Zakinthos
gr,Evritania
gr,Fthiotis
gr,Kastoria
gr,Samos
gr,Imathia
gr,Florina
gr,Pieria
gr,Levkas
gr,Fokis
gr,Ilia
gr,Korinthia
gr,Xanthi
gr,Khalkidhiki
gt,Izabal
gt,Alta Verapaz
gt,Retalhuleu
gt,El Progreso
gt,Guatemala
gt,Jutiapa
gt,Chimaltenango
gt,Chiquimula
gt,Zacapa
gt,Jalapa
gt,San Marcos
gt,Quiche
gt,Huehuetenango
gt,Quetzaltenango
gt,Baja Verapaz
gt,Santa Rosa
gt,Solola
gt,Peten
gt,Escuintla
gt,Sacatepequez
gt,Totonicapan
gt,Suchitepequez
gw,Cacheu
gw,Biombo
gw,Oio
gw,Bissau
gw,Bafata
gw,Tombali
gw,Gabu
gw,Bolama
gw,Quinara
gy,Mahaica-Berbice
gy,Upper Takutu-Upper Essequibo
gy,Barima-Waini
gy,Pomeroon-Supenaam
gy,Demerara-Mahaica
gy,Cuyuni-Mazaruni
gy,East Berbice-Corentyne
gy,Essequibo Islands-West Demerara
gy,Potaro-Siparuni
gy,Upper Demerara-Berbice
hn,Colon
hn,Choluteca
hn,Comayagua
hn,Valle
hn,Santa Barbara
hn,Francisco Morazan
hn,El Paraiso
hn,Lempira
hn,Copan
hn,Olancho
hn,Cortes
hn,Yoro
hn,Atlantida
hn,Intibuca
hn,La Paz
hn,Ocotepeque
hn,Gracias a Dios
hn,Islas de la Bahia
hr,Primorsko-Goranska
hr,Splitsko-Dalmatinska
hr,Istarska
hr,Osjecko-Baranjska
hr,Viroviticko-Podravska
hr,Grad Zagreb
hr,Sisacko-Moslavacka
hr,Licko-Senjska
hr,Brodsko-Posavska
hr,Dubrovacko-Neretvanska
hr,Pozesko-Slavonska
hr,Zagrebacka
hr,Bjelovarsko-Bilogorska
hr,Varazdinska
hr,Vukovarsko-Srijemska
hr,Krapinsko-Zagorska
hr,Koprivnicko-Krizevacka
hr,Karlovacka
hr,Sibensko-Kninska
hr,Medimurska
ht,Sud
ht,Centre
ht,Ouest
ht,Nord
ht,Nord-Ouest
ht,Nord-Est
ht,Sud-Est
ht,Artibonite
hu,Komarom-Esztergom
hu,Fejer
hu,Jasz-Nagykun-Szolnok
hu,Baranya
hu,Szabolcs-Szatmar-Bereg
hu,Heves
hu,Borsod-Abauj-Zemplen
hu,Gyor-Moson-Sopron
hu,Pest
hu,Veszprem
hu,Bacs-Kiskun
hu,Vas
hu,Hajdu-Bihar
hu,Zala
hu,Somogy
hu,Tolna
hu,Nograd
hu,Budapest
hu,Miskolc
hu,Csongrad
hu,Debrecen
hu,Bekes
hu,Szeged
hu,Pecs
hu,Gyor
id,Jawa Timur
id,Sulawesi Tenggara
id,Nusa Tenggara Timur
id,Sulawesi Utara
id,Sumatera Barat
id,Aceh
id,Sulawesi Tengah
id,Jawa Tengah
id,Jawa Barat
id,Bali
id,Banten
id,Sumatera Utara
id,Kalimantan Timur
id,Lampung
id,Nusa Tenggara Barat
id,Kalimantan Barat
id,Kalimantan Tengah
id,Bengkulu
id,Jambi
id,Kalimantan Selatan
id,Yogyakarta
id,Jakarta Raya
id,Maluku
ie,Galway
ie,Cork
ie,Kerry
ie,Limerick
ie,Longford
ie,Laois
ie,Waterford
ie,Mayo
ie,Sligo
ie,Kildare
ie,Dublin
ie,Wicklow
ie,Cavan
ie,Kilkenny
ie,Wexford
ie,Carlow
ie,Offaly
ie,Monaghan
ie,Leitrim
ie,Clare
ie,Donegal
ie,Louth
ie,Roscommon
ie,Tipperary
ie,Westmeath
ie,Meath
il,HaZafon
